,YearEnd,LocationDesc,Race/Ethnicity,Physical_Percentage,Obesity_Percentage,Soda_Percentage,PanelID,Production_diff,Production_diff_lag_1,Production_diff_lag_2,Production_diff_lag_3
144,2009,National,American Indian/Alaska Native,27.0,21.0,32.5,37,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
145,2011,National,American Indian/Alaska Native,31.6,21.2,35.8,37,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
146,2013,National,American Indian/Alaska Native,24.2,22.8,33.8,37,-169.0,133.79999999999927,-79.5,-592.3000000000002
147,2015,National,American Indian/Alaska Native,37.4,12.7,21.8,37,-96.5,-169.0,178.5000000000009,133.79999999999927
148,2017,National,American Indian/Alaska Native,38.6,11.0,32.1,37,8.300000000000182,-96.5,-156.80000000000018,-169.0
149,2007,New Mexico,American Indian/Alaska Native,29.1,17.3,27.7,38,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
150,2009,New Mexico,American Indian/Alaska Native,31.6,21.1,35.4,38,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
151,2011,New Mexico,American Indian/Alaska Native,40.2,21.1,30.9,38,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
152,2013,New Mexico,American Indian/Alaska Native,45.5,19.4,25.0,38,-169.0,133.79999999999927,-79.5,-592.3000000000002
153,2015,New Mexico,American Indian/Alaska Native,33.1,18.3,26.2,38,-96.5,-169.0,178.5000000000009,133.79999999999927
154,2017,New Mexico,American Indian/Alaska Native,28.0,18.6,25.0,38,8.300000000000182,-96.5,-156.80000000000018,-169.0
155,2019,New Mexico,American Indian/Alaska Native,27.9,21.1,19.7,38,-96.0,8.300000000000182,333.89999999999964,-96.5
156,2009,New York,American Indian/Alaska Native,13.4,8.5,36.6,39,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
157,2011,New York,American Indian/Alaska Native,30.1,17.5,29.2,39,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
158,2013,New York,American Indian/Alaska Native,29.6,14.2,15.0,39,-169.0,133.79999999999927,-79.5,-592.3000000000002
159,2015,New York,American Indian/Alaska Native,20.8,18.0,25.4,39,-96.5,-169.0,178.5000000000009,133.79999999999927
160,2017,New York,American Indian/Alaska Native,6.8,18.2,14.7,39,8.300000000000182,-96.5,-156.80000000000018,-169.0
161,2019,North Dakota,American Indian/Alaska Native,27.1,27.3,19.0,40,-96.0,8.300000000000182,333.89999999999964,-96.5
162,2007,Oklahoma,American Indian/Alaska Native,39.5,15.4,47.5,41,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
163,2011,Oklahoma,American Indian/Alaska Native,34.9,17.5,41.5,41,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
164,2013,Oklahoma,American Indian/Alaska Native,36.1,17.9,36.8,41,-169.0,133.79999999999927,-79.5,-592.3000000000002
165,2015,Oklahoma,American Indian/Alaska Native,29.0,16.0,33.6,41,-96.5,-169.0,178.5000000000009,133.79999999999927
166,2017,Oklahoma,American Indian/Alaska Native,27.9,20.1,25.8,41,8.300000000000182,-96.5,-156.80000000000018,-169.0
167,2019,Oklahoma,American Indian/Alaska Native,30.2,18.2,30.6,41,-96.0,8.300000000000182,333.89999999999964,-96.5
168,2007,South Dakota,American Indian/Alaska Native,16.0,16.1,31.5,42,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
169,2011,South Dakota,American Indian/Alaska Native,13.5,17.5,32.6,42,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
170,2019,South Dakota,American Indian/Alaska Native,16.1,16.5,19.2,42,-96.0,8.300000000000182,333.89999999999964,-96.5
171,2009,Vermont,American Indian/Alaska Native,25.3,22.4,41.5,43,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
172,2011,Vermont,American Indian/Alaska Native,20.3,18.1,27.2,43,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
173,2011,Wyoming,American Indian/Alaska Native,44.3,18.9,44.8,44,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
174,2015,Wyoming,American Indian/Alaska Native,31.3,17.8,23.1,44,-96.5,-169.0,178.5000000000009,133.79999999999927
175,2019,Alaska,Asian,10.8,15.0,9.0,45,-96.0,8.300000000000182,333.89999999999964,-96.5
176,2015,California,Asian,34.0,9.9,6.7,46,-96.5,-169.0,178.5000000000009,133.79999999999927
177,2017,California,Asian,33.0,12.1,5.5,46,8.300000000000182,-96.5,-156.80000000000018,-169.0
178,2019,California,Asian,17.4,8.9,7.0,46,-96.0,8.300000000000182,333.89999999999964,-96.5
179,2017,Connecticut,Asian,6.6,19.6,7.8,47,8.300000000000182,-96.5,-156.80000000000018,-169.0
180,2007,Florida,Asian,18.6,9.3,20.6,48,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
181,2009,Florida,Asian,17.7,4.3,17.9,48,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
182,2011,Florida,Asian,15.0,11.7,18.5,48,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
183,2013,Florida,Asian,15.3,8.7,12.9,48,-169.0,133.79999999999927,-79.5,-592.3000000000002
184,2015,Florida,Asian,13.4,11.7,10.9,48,-96.5,-169.0,178.5000000000009,133.79999999999927
185,2017,Florida,Asian,16.0,11.2,10.0,48,8.300000000000182,-96.5,-156.80000000000018,-169.0
186,2019,Florida,Asian,22.1,9.3,14.8,48,-96.0,8.300000000000182,333.89999999999964,-96.5
187,2015,Guam,Asian,11.9,20.2,8.4,49,-96.5,-169.0,178.5000000000009,133.79999999999927
188,2017,Guam,Asian,7.3,16.2,8.4,49,8.300000000000182,-96.5,-156.80000000000018,-169.0
189,2019,Guam,Asian,6.2,12.8,7.3,49,-96.0,8.300000000000182,333.89999999999964,-96.5
190,2007,Hawaii,Asian,8.4,13.0,18.9,50,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
191,2009,Hawaii,Asian,13.5,12.8,18.8,50,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
192,2011,Hawaii,Asian,7.2,13.5,14.6,50,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
193,2013,Hawaii,Asian,6.9,16.1,13.1,50,-169.0,133.79999999999927,-79.5,-592.3000000000002
194,2015,Hawaii,Asian,7.6,15.3,11.7,50,-96.5,-169.0,178.5000000000009,133.79999999999927
195,2017,Hawaii,Asian,5.9,12.0,9.5,50,8.300000000000182,-96.5,-156.80000000000018,-169.0
196,2019,Hawaii,Asian,6.2,13.0,7.7,50,-96.0,8.300000000000182,333.89999999999964,-96.5
197,2015,Illinois,Asian,70.6,2.7,6.4,51,-96.5,-169.0,178.5000000000009,133.79999999999927
198,2017,Illinois,Asian,76.2,12.1,5.9,51,8.300000000000182,-96.5,-156.80000000000018,-169.0
199,2019,Illinois,Asian,71.0,6.3,8.4,51,-96.0,8.300000000000182,333.89999999999964,-96.5
200,2011,Maryland,Asian,25.0,10.2,18.3,52,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
201,2013,Maryland,Asian,22.0,9.4,9.7,52,-169.0,133.79999999999927,-79.5,-592.3000000000002
202,2015,Maryland,Asian,18.4,9.8,7.3,52,-96.5,-169.0,178.5000000000009,133.79999999999927
203,2017,Maryland,Asian,21.5,10.8,5.5,52,8.300000000000182,-96.5,-156.80000000000018,-169.0
204,2019,Maryland,Asian,15.2,9.8,5.4,52,-96.0,8.300000000000182,333.89999999999964,-96.5
205,2007,Massachusetts,Asian,19.3,8.0,21.4,53,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
206,2009,Massachusetts,Asian,22.4,8.5,18.4,53,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
207,2011,Massachusetts,Asian,15.2,10.5,15.7,53,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
208,2013,Massachusetts,Asian,15.3,7.6,7.4,53,-169.0,133.79999999999927,-79.5,-592.3000000000002
209,2015,Massachusetts,Asian,26.0,12.6,9.6,53,-96.5,-169.0,178.5000000000009,133.79999999999927
210,2017,Massachusetts,Asian,15.5,8.5,3.1,53,8.300000000000182,-96.5,-156.80000000000018,-169.0
211,2019,Massachusetts,Asian,23.5,6.8,8.5,53,-96.0,8.300000000000182,333.89999999999964,-96.5
212,2009,Michigan,Asian,31.7,5.9,18.0,54,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
213,2013,Michigan,Asian,24.9,10.8,9.6,54,-169.0,133.79999999999927,-79.5,-592.3000000000002
214,2015,Michigan,Asian,22.3,10.1,10.9,54,-96.5,-169.0,178.5000000000009,133.79999999999927
215,2019,Michigan,Asian,25.1,12.6,9.0,54,-96.0,8.300000000000182,333.89999999999964,-96.5
216,2007,National,Asian,24.6,13.0,18.5,55,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
217,2009,National,Asian,34.1,10.9,16.3,55,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
218,2011,National,Asian,28.2,10.8,17.6,55,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
219,2013,National,Asian,26.4,13.6,12.2,55,-169.0,133.79999999999927,-79.5,-592.3000000000002
220,2015,National,Asian,25.9,11.9,8.9,55,-96.5,-169.0,178.5000000000009,133.79999999999927
221,2017,National,Asian,32.5,13.4,6.7,55,8.300000000000182,-96.5,-156.80000000000018,-169.0
222,2019,National,Asian,27.3,11.0,4.6,55,-96.0,8.300000000000182,333.89999999999964,-96.5
223,2017,Nevada,Asian,26.0,17.2,9.9,56,8.300000000000182,-96.5,-156.80000000000018,-169.0
224,2019,Nevada,Asian,15.8,16.7,4.8,56,-96.0,8.300000000000182,333.89999999999964,-96.5
225,2011,New Jersey,Asian,58.5,15.1,11.8,57,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
226,2013,New Jersey,Asian,40.9,8.9,4.7,57,-169.0,133.79999999999927,-79.5,-592.3000000000002
227,2013,New Mexico,Asian,12.8,8.3,16.9,58,-169.0,133.79999999999927,-79.5,-592.3000000000002
228,2007,New York,Asian,24.3,8.3,13.3,59,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
229,2009,New York,Asian,32.3,11.8,13.8,59,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
230,2011,New York,Asian,26.1,11.0,12.0,59,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
231,2013,New York,Asian,32.5,11.1,10.2,59,-169.0,133.79999999999927,-79.5,-592.3000000000002
232,2015,New York,Asian,29.2,9.8,11.7,59,-96.5,-169.0,178.5000000000009,133.79999999999927
233,2017,New York,Asian,28.2,12.6,7.9,59,8.300000000000182,-96.5,-156.80000000000018,-169.0
