YearEnd,LocationDesc,Race/Ethnicity,Physical_Percentage,Obesity_Percentage,Soda_Percentage,PanelID,Production_diff,Production_diff_lag_1,Production_diff_lag_2,Production_diff_lag_3
2011,Montana,American Indian/Alaska Native,31.8,14.0,30.3,36,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Montana,American Indian/Alaska Native,42.7,18.8,23.9,36,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Montana,American Indian/Alaska Native,34.5,16.2,23.7,36,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Montana,American Indian/Alaska Native,36.0,21.2,18.9,36,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Montana,American Indian/Alaska Native,35.8,17.5,15.9,36,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,National,American Indian/Alaska Native,33.3,21.1,37.7,37,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,National,American Indian/Alaska Native,27.0,21.0,32.5,37,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,National,American Indian/Alaska Native,31.6,21.2,35.8,37,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,National,American Indian/Alaska Native,24.2,22.8,33.8,37,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,National,American Indian/Alaska Native,37.4,12.7,21.8,37,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,National,American Indian/Alaska Native,38.6,11.0,32.1,37,8.300000000000182,-96.5,-156.80000000000018,-169.0
2007,New Mexico,American Indian/Alaska Native,29.1,17.3,27.7,38,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,New Mexico,American Indian/Alaska Native,31.6,21.1,35.4,38,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,New Mexico,American Indian/Alaska Native,40.2,21.1,30.9,38,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,New Mexico,American Indian/Alaska Native,45.5,19.4,25.0,38,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,New Mexico,American Indian/Alaska Native,33.1,18.3,26.2,38,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,New Mexico,American Indian/Alaska Native,28.0,18.6,25.0,38,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,New Mexico,American Indian/Alaska Native,27.9,21.1,19.7,38,-96.0,8.300000000000182,333.89999999999964,-96.5
2009,New York,American Indian/Alaska Native,13.4,8.5,36.6,39,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,New York,American Indian/Alaska Native,30.1,17.5,29.2,39,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,New York,American Indian/Alaska Native,29.6,14.2,15.0,39,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,New York,American Indian/Alaska Native,20.8,18.0,25.4,39,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,New York,American Indian/Alaska Native,6.8,18.2,14.7,39,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,North Dakota,American Indian/Alaska Native,27.1,27.3,19.0,40,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Oklahoma,American Indian/Alaska Native,39.5,15.4,47.5,41,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2011,Oklahoma,American Indian/Alaska Native,34.9,17.5,41.5,41,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Oklahoma,American Indian/Alaska Native,36.1,17.9,36.8,41,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Oklahoma,American Indian/Alaska Native,29.0,16.0,33.6,41,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Oklahoma,American Indian/Alaska Native,27.9,20.1,25.8,41,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Oklahoma,American Indian/Alaska Native,30.2,18.2,30.6,41,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,South Dakota,American Indian/Alaska Native,16.0,16.1,31.5,42,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2011,South Dakota,American Indian/Alaska Native,13.5,17.5,32.6,42,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2019,South Dakota,American Indian/Alaska Native,16.1,16.5,19.2,42,-96.0,8.300000000000182,333.89999999999964,-96.5
2009,Vermont,American Indian/Alaska Native,25.3,22.4,41.5,43,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Vermont,American Indian/Alaska Native,20.3,18.1,27.2,43,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2011,Wyoming,American Indian/Alaska Native,44.3,18.9,44.8,44,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2015,Wyoming,American Indian/Alaska Native,31.3,17.8,23.1,44,-96.5,-169.0,178.5000000000009,133.79999999999927
2019,Alaska,Asian,10.8,15.0,9.0,45,-96.0,8.300000000000182,333.89999999999964,-96.5
2015,California,Asian,34.0,9.9,6.7,46,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,California,Asian,33.0,12.1,5.5,46,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,California,Asian,17.4,8.9,7.0,46,-96.0,8.300000000000182,333.89999999999964,-96.5
2017,Connecticut,Asian,6.6,19.6,7.8,47,8.300000000000182,-96.5,-156.80000000000018,-169.0
2007,Florida,Asian,18.6,9.3,20.6,48,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Florida,Asian,17.7,4.3,17.9,48,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Florida,Asian,15.0,11.7,18.5,48,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Florida,Asian,15.3,8.7,12.9,48,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Florida,Asian,13.4,11.7,10.9,48,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Florida,Asian,16.0,11.2,10.0,48,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Florida,Asian,22.1,9.3,14.8,48,-96.0,8.300000000000182,333.89999999999964,-96.5
2015,Guam,Asian,11.9,20.2,8.4,49,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Guam,Asian,7.3,16.2,8.4,49,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Guam,Asian,6.2,12.8,7.3,49,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Hawaii,Asian,8.4,13.0,18.9,50,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Hawaii,Asian,13.5,12.8,18.8,50,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Hawaii,Asian,7.2,13.5,14.6,50,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Hawaii,Asian,6.9,16.1,13.1,50,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Hawaii,Asian,7.6,15.3,11.7,50,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Hawaii,Asian,5.9,12.0,9.5,50,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Hawaii,Asian,6.2,13.0,7.7,50,-96.0,8.300000000000182,333.89999999999964,-96.5
2015,Illinois,Asian,70.6,2.7,6.4,51,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Illinois,Asian,76.2,12.1,5.9,51,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Illinois,Asian,71.0,6.3,8.4,51,-96.0,8.300000000000182,333.89999999999964,-96.5
2011,Maryland,Asian,25.0,10.2,18.3,52,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Maryland,Asian,22.0,9.4,9.7,52,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Maryland,Asian,18.4,9.8,7.3,52,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Maryland,Asian,21.5,10.8,5.5,52,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Maryland,Asian,15.2,9.8,5.4,52,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Massachusetts,Asian,19.3,8.0,21.4,53,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Massachusetts,Asian,22.4,8.5,18.4,53,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Massachusetts,Asian,15.2,10.5,15.7,53,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Massachusetts,Asian,15.3,7.6,7.4,53,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Massachusetts,Asian,26.0,12.6,9.6,53,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Massachusetts,Asian,15.5,8.5,3.1,53,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Massachusetts,Asian,23.5,6.8,8.5,53,-96.0,8.300000000000182,333.89999999999964,-96.5
2009,Michigan,Asian,31.7,5.9,18.0,54,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2013,Michigan,Asian,24.9,10.8,9.6,54,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Michigan,Asian,22.3,10.1,10.9,54,-96.5,-169.0,178.5000000000009,133.79999999999927
2019,Michigan,Asian,25.1,12.6,9.0,54,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,National,Asian,24.6,13.0,18.5,55,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,National,Asian,34.1,10.9,16.3,55,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,National,Asian,28.2,10.8,17.6,55,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,National,Asian,26.4,13.6,12.2,55,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,National,Asian,25.9,11.9,8.9,55,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,National,Asian,32.5,13.4,6.7,55,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,National,Asian,27.3,11.0,4.6,55,-96.0,8.300000000000182,333.89999999999964,-96.5
2017,Nevada,Asian,26.0,17.2,9.9,56,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Nevada,Asian,15.8,16.7,4.8,56,-96.0,8.300000000000182,333.89999999999964,-96.5
2011,New Jersey,Asian,58.5,15.1,11.8,57,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,New Jersey,Asian,40.9,8.9,4.7,57,-169.0,133.79999999999927,-79.5,-592.3000000000002
2013,New Mexico,Asian,12.8,8.3,16.9,58,-169.0,133.79999999999927,-79.5,-592.3000000000002
2007,New York,Asian,24.3,8.3,13.3,59,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,New York,Asian,32.3,11.8,13.8,59,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,New York,Asian,26.1,11.0,12.0,59,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,New York,Asian,32.5,11.1,10.2,59,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,New York,Asian,29.2,9.8,11.7,59,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,New York,Asian,28.2,12.6,7.9,59,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,New York,Asian,25.9,14.9,6.6,59,-96.0,8.300000000000182,333.89999999999964,-96.5
2015,North Carolina,Asian,37.8,3.6,2.9,60,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,North Carolina,Asian,22.5,20.4,9.6,60,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,North Carolina,Asian,15.9,9.3,11.1,60,-96.0,8.300000000000182,333.89999999999964,-96.5
2017,Pennsylvania,Asian,17.1,14.7,7.1,61,8.300000000000182,-96.5,-156.80000000000018,-169.0
2009,Rhode Island,Asian,21.4,13.1,21.4,62,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Rhode Island,Asian,35.8,6.0,18.5,62,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2015,Rhode Island,Asian,22.0,9.9,6.5,62,-96.5,-169.0,178.5000000000009,133.79999999999927
2009,Texas,Asian,22.9,14.9,17.3,63,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Texas,Asian,19.3,10.7,10.5,63,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2009,Vermont,Asian,13.8,11.6,17.9,64,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Vermont,Asian,10.9,8.4,17.4,64,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Virginia,Asian,6.2,10.1,7.9,65,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Virginia,Asian,3.1,11.1,8.0,65,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Virginia,Asian,9.1,8.9,5.4,65,8.300000000000182,-96.5,-156.80000000000018,-169.0
2011,Wisconsin,Asian,51.8,18.9,17.2,66,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Wisconsin,Asian,37.5,10.4,6.1,66,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Guam,Hawaiian/Pacific Islander,10.7,19.7,20.1,67,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Guam,Hawaiian/Pacific Islander,8.4,19.9,23.2,67,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Guam,Hawaiian/Pacific Islander,12.7,20.9,18.0,67,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Hawaii,Hawaiian/Pacific Islander,5.9,16.4,31.4,68,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Hawaii,Hawaiian/Pacific Islander,14.3,17.4,22.2,68,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Hawaii,Hawaiian/Pacific Islander,6.8,16.1,21.3,68,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Hawaii,Hawaiian/Pacific Islander,10.4,15.7,18.7,68,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Hawaii,Hawaiian/Pacific Islander,7.5,17.6,16.9,68,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Hawaii,Hawaiian/Pacific Islander,7.9,18.3,14.3,68,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Hawaii,Hawaiian/Pacific Islander,14.5,17.6,13.7,68,-96.0,8.300000000000182,333.89999999999964,-96.5
2013,Maryland,Hawaiian/Pacific Islander,16.0,13.5,23.4,69,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Maryland,Hawaiian/Pacific Islander,17.2,15.1,17.7,69,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Maryland,Hawaiian/Pacific Islander,8.7,15.7,18.0,69,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Maryland,Hawaiian/Pacific Islander,16.9,15.3,12.8,69,-96.0,8.300000000000182,333.89999999999964,-96.5
2009,National,Hawaiian/Pacific Islander,20.6,12.9,31.4,70,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,National,Hawaiian/Pacific Islander,27.8,19.4,23.8,70,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,National,Hawaiian/Pacific Islander,41.6,22.8,20.2,70,-169.0,133.79999999999927,-79.5,-592.3000000000002
2017,National,Hawaiian/Pacific Islander,23.1,21.5,10.3,70,8.300000000000182,-96.5,-156.80000000000018,-169.0
2007,New York,Hawaiian/Pacific Islander,22.8,18.7,23.4,71,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,New York,Hawaiian/Pacific Islander,18.2,3.2,5.7,71,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,New York,Hawaiian/Pacific Islander,47.3,14.8,20.5,71,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2015,New York,Hawaiian/Pacific Islander,25.1,16.7,16.4,71,-96.5,-169.0,178.5000000000009,133.79999999999927
2013,Alabama,Hispanic,26.2,13.8,36.2,72,-169.0,133.79999999999927,-79.5,-592.3000000000002
2019,Alabama,Hispanic,23.0,22.7,30.8,72,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Alaska,Hispanic,21.1,15.8,21.4,73,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Alaska,Hispanic,18.9,17.9,17.5,73,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Alaska,Hispanic,17.7,20.6,18.0,73,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Alaska,Hispanic,17.2,13.4,12.3,73,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Alaska,Hispanic,9.7,21.8,14.1,73,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Alaska,Hispanic,14.1,15.2,13.0,73,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Alaska,Hispanic,12.1,15.7,18.0,73,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Arizona,Hispanic,27.6,18.8,28.0,74,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Arizona,Hispanic,30.5,16.2,26.5,74,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Arizona,Hispanic,30.7,17.1,24.0,74,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Arizona,Hispanic,23.2,14.2,20.3,74,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Arizona,Hispanic,23.2,16.8,21.8,74,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Arizona,Hispanic,37.0,19.2,15.1,74,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Arizona,Hispanic,35.0,20.2,16.1,74,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Arkansas,Hispanic,29.6,12.1,31.7,75,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Arkansas,Hispanic,25.1,19.9,25.2,75,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Arkansas,Hispanic,17.0,21.3,23.8,75,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Arkansas,Hispanic,16.3,28.2,25.3,75,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Arkansas,Hispanic,24.8,17.3,26.3,75,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Arkansas,Hispanic,22.4,23.1,25.0,75,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Arkansas,Hispanic,13.8,20.8,20.7,75,-96.0,8.300000000000182,333.89999999999964,-96.5
2015,California,Hispanic,36.2,19.9,16.3,76,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,California,Hispanic,39.2,17.2,15.1,76,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,California,Hispanic,26.1,20.1,18.6,76,-96.0,8.300000000000182,333.89999999999964,-96.5
2009,Colorado,Hispanic,17.2,13.9,29.1,77,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2015,Connecticut,Hispanic,14.7,16.1,13.4,78,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Connecticut,Hispanic,12.7,20.5,13.9,78,8.300000000000182,-96.5,-156.80000000000018,-169.0
2007,Delaware,Hispanic,28.9,24.4,33.4,79,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Delaware,Hispanic,25.5,19.4,25.9,79,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Delaware,Hispanic,25.8,19.1,27.3,79,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Delaware,Hispanic,12.1,18.6,20.9,79,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Delaware,Hispanic,14.0,16.3,22.8,79,-96.5,-169.0,178.5000000000009,133.79999999999927
2007,District of Columbia,Hispanic,10.4,19.3,29.6,80,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2011,District of Columbia,Hispanic,12.3,22.4,19.8,80,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2007,Florida,Hispanic,18.5,18.9,27.5,81,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Florida,Hispanic,21.7,14.9,27.8,81,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Florida,Hispanic,21.2,14.3,25.6,81,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Florida,Hispanic,20.3,16.0,20.6,81,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Florida,Hispanic,19.5,15.9,18.7,81,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Florida,Hispanic,19.4,15.0,16.1,81,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Florida,Hispanic,17.4,18.6,14.8,81,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Georgia,Hispanic,38.3,22.8,26.3,82,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Georgia,Hispanic,25.2,15.8,20.0,82,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Georgia,Hispanic,23.8,15.2,22.2,82,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Georgia,Hispanic,37.0,20.7,28.4,82,-169.0,133.79999999999927,-79.5,-592.3000000000002
2019,Guam,Hispanic,13.9,11.0,18.9,83,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Hawaii,Hispanic,6.6,17.6,18.2,84,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Hawaii,Hispanic,10.0,13.6,20.1,84,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Hawaii,Hispanic,6.5,12.8,18.6,84,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Hawaii,Hispanic,7.9,14.3,15.4,84,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Hawaii,Hispanic,5.5,17.5,14.0,84,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Hawaii,Hispanic,7.1,18.0,11.1,84,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Hawaii,Hispanic,6.9,18.0,11.2,84,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Idaho,Hispanic,33.8,14.2,26.9,85,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Idaho,Hispanic,27.7,15.8,21.6,85,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Idaho,Hispanic,26.6,20.1,21.4,85,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Idaho,Hispanic,30.1,16.7,22.1,85,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Idaho,Hispanic,34.0,20.8,15.3,85,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Idaho,Hispanic,31.4,20.3,12.5,85,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Idaho,Hispanic,24.7,15.2,13.0,85,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Illinois,Hispanic,44.9,19.5,33.0,86,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Illinois,Hispanic,62.9,20.3,25.9,86,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Illinois,Hispanic,66.3,19.2,22.7,86,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Illinois,Hispanic,59.7,18.8,19.9,86,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Illinois,Hispanic,55.9,21.9,17.9,86,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Illinois,Hispanic,61.5,19.9,16.0,86,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Illinois,Hispanic,57.1,20.7,13.4,86,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Indiana,Hispanic,24.5,22.4,34.4,87,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Indiana,Hispanic,30.1,17.9,16.6,87,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Indiana,Hispanic,19.6,16.4,19.6,87,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2015,Indiana,Hispanic,26.2,18.0,14.8,87,-96.5,-169.0,178.5000000000009,133.79999999999927
2011,Iowa,Hispanic,32.8,20.1,30.3,88,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2017,Iowa,Hispanic,12.9,18.2,19.6,88,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Iowa,Hispanic,20.6,15.5,17.6,88,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Kansas,Hispanic,31.0,18.9,31.9,89,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Kansas,Hispanic,25.4,13.9,28.3,89,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Kansas,Hispanic,29.6,17.0,22.4,89,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Kansas,Hispanic,24.8,20.7,18.6,89,-169.0,133.79999999999927,-79.5,-592.3000000000002
2017,Kansas,Hispanic,23.9,22.4,13.1,89,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Kansas,Hispanic,19.0,21.0,16.4,89,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Kentucky,Hispanic,15.1,13.8,37.7,90,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2013,Kentucky,Hispanic,16.0,17.0,19.6,90,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Kentucky,Hispanic,23.1,11.8,24.1,90,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Kentucky,Hispanic,19.1,19.9,21.1,90,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Kentucky,Hispanic,18.1,17.2,17.6,90,-96.0,8.300000000000182,333.89999999999964,-96.5
2019,Louisiana,Hispanic,20.9,21.7,20.4,91,-96.0,8.300000000000182,333.89999999999964,-96.5
