,Date,Unit,Type_Of_Meat,Animal,Commercial_Or_Federally_Inspected,Weight
83,2004-07-01,1000 Pounds,Red Meat,Cattle,Commercial,3453340.8
84,2004-07-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5495690.2
85,2004-07-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,620701.4
86,2004-07-01,1000 Pounds,Red Meat,Hogs,Commercial,2121099.6
87,2004-07-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3675809.7
88,2004-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,28275.2
89,2004-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,40365.0
90,2004-07-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1180413.0
91,2004-08-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4084869.0
92,2004-08-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,595116.4
93,2004-08-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,50086.4
94,2004-08-01,1000 Pounds,Red Meat,Calves,Commercial,23409.4
95,2004-08-01,1000 Pounds,Red Meat,Calves,Federally Inspected,36474.299999999996
96,2004-08-01,1000 Pounds,Red Meat,Cattle,Commercial,3531266.0
97,2004-08-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5613420.4
98,2004-08-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,634128.2999999999
99,2004-08-01,1000 Pounds,Red Meat,Hogs,Commercial,2285137.8
100,2004-08-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3954881.6999999997
101,2004-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,30290.0
102,2004-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,43162.7
103,2004-08-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1196279.0999999999
104,2004-09-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4000137.9
105,2004-09-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,576262.4
106,2004-09-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,47488.0
107,2004-09-01,1000 Pounds,Red Meat,Calves,Commercial,21536.0
108,2004-09-01,1000 Pounds,Red Meat,Calves,Federally Inspected,33638.4
109,2004-09-01,1000 Pounds,Red Meat,Cattle,Commercial,3462431.5
110,2004-09-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5497133.600000001
111,2004-09-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,642026.0
112,2004-09-01,1000 Pounds,Red Meat,Hogs,Commercial,2384788.0
113,2004-09-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4128393.5999999996
114,2004-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,32438.7
115,2004-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,46601.399999999994
116,2004-09-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1138179.0
117,2004-10-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3944786.4000000004
118,2004-10-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,586980.0
119,2004-10-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,41968.399999999994
120,2004-10-01,1000 Pounds,Red Meat,Calves,Commercial,20625.0
121,2004-10-01,1000 Pounds,Red Meat,Calves,Federally Inspected,32178.600000000002
122,2004-10-01,1000 Pounds,Red Meat,Cattle,Commercial,3479055.3000000003
123,2004-10-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5512571.0
124,2004-10-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,695538.0
125,2004-10-01,1000 Pounds,Red Meat,Hogs,Commercial,2394909.9000000004
126,2004-10-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4139245.0
127,2004-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,32575.5
128,2004-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,46344.9
129,2004-10-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1087619.4
130,2004-11-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3344225.4000000004
131,2004-11-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,610500.0
132,2004-11-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,35449.700000000004
133,2004-11-01,1000 Pounds,Red Meat,Calves,Commercial,22814.4
134,2004-11-01,1000 Pounds,Red Meat,Calves,Federally Inspected,35760.1
135,2004-11-01,1000 Pounds,Red Meat,Cattle,Commercial,3223636.4000000004
136,2004-11-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5090338.8
137,2004-11-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,614485.2
138,2004-11-01,1000 Pounds,Red Meat,Hogs,Commercial,2422656.0
139,2004-11-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4191690.4000000004
140,2004-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,32912.0
141,2004-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,47237.399999999994
142,2004-11-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1000105.6000000001
143,2004-12-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3830898.3
144,2004-12-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,551507.0
145,2004-12-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,34864.799999999996
146,2004-12-01,1000 Pounds,Red Meat,Calves,Commercial,24916.399999999998
147,2004-12-01,1000 Pounds,Red Meat,Calves,Federally Inspected,39055.0
148,2004-12-01,1000 Pounds,Red Meat,Cattle,Commercial,3411300.4000000004
149,2004-12-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5381346.600000001
150,2004-12-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,645133.8
151,2004-12-01,1000 Pounds,Red Meat,Hogs,Commercial,2497473.0
152,2004-12-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4318564.0
153,2004-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,33894.0
154,2004-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,48463.2
155,2004-12-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1054320.2000000002
156,2005-01-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3887238.6
157,2005-01-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,576655.2
158,2005-01-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,39021.6
159,2005-01-01,1000 Pounds,Red Meat,Calves,Commercial,22339.100000000002
160,2005-01-01,1000 Pounds,Red Meat,Calves,Federally Inspected,34807.5
161,2005-01-01,1000 Pounds,Red Meat,Cattle,Commercial,3190462.1999999997
162,2005-01-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5028107.0
163,2005-01-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,578783.0
164,2005-01-01,1000 Pounds,Red Meat,Hogs,Commercial,2289681.0
165,2005-01-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3965791.2
166,2005-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,28911.0
167,2005-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,40908.0
168,2005-01-01,1000 Pounds,Red Meat,Steers,Federally Inspected,999108.5000000001
169,2005-02-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3562564.6
170,2005-02-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,517716.0
171,2005-02-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,36115.200000000004
172,2005-02-01,1000 Pounds,Red Meat,Calves,Commercial,20175.9
173,2005-02-01,1000 Pounds,Red Meat,Calves,Federally Inspected,31702.0
174,2005-02-01,1000 Pounds,Red Meat,Cattle,Commercial,2935653.7
175,2005-02-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,4635749.6
176,2005-02-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,562723.7
177,2005-02-01,1000 Pounds,Red Meat,Hogs,Commercial,2189106.0
178,2005-02-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3790584.8
179,2005-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,29960.0
180,2005-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,43741.6
181,2005-02-01,1000 Pounds,Red Meat,Steers,Federally Inspected,911587.2
182,2005-03-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4074512.8
183,2005-03-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,586467.0
184,2005-03-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,37599.0
185,2005-03-01,1000 Pounds,Red Meat,Calves,Commercial,22304.0
186,2005-03-01,1000 Pounds,Red Meat,Calves,Federally Inspected,34979.0
187,2005-03-01,1000 Pounds,Red Meat,Cattle,Commercial,3370948.6999999997
188,2005-03-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5337423.0
189,2005-03-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,644688.0
190,2005-03-01,1000 Pounds,Red Meat,Hogs,Commercial,2425368.7
191,2005-03-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4198549.800000001
192,2005-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,38933.9
193,2005-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,56301.00000000001
194,2005-03-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1089419.3
195,2005-04-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3860973.0000000005
196,2005-04-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,562982.4
197,2005-04-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,39446.299999999996
198,2005-04-01,1000 Pounds,Red Meat,Calves,Commercial,21744.8
199,2005-04-01,1000 Pounds,Red Meat,Calves,Federally Inspected,33956.5
200,2005-04-01,1000 Pounds,Red Meat,Cattle,Commercial,3118445.4000000004
201,2005-04-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,4939889.5
202,2005-04-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,558372.9
203,2005-04-01,1000 Pounds,Red Meat,Hogs,Commercial,2288595.0
204,2005-04-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3966763.8000000003
205,2005-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,31118.699999999997
206,2005-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,45387.6
207,2005-04-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1047032.0
208,2005-05-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4093621.2
209,2005-05-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,582171.6
210,2005-05-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,39797.799999999996
211,2005-05-01,1000 Pounds,Red Meat,Calves,Commercial,21996.0
212,2005-05-01,1000 Pounds,Red Meat,Calves,Federally Inspected,34666.5
213,2005-05-01,1000 Pounds,Red Meat,Cattle,Commercial,3413412.6
214,2005-05-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5424577.600000001
215,2005-05-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,606433.1
216,2005-05-01,1000 Pounds,Red Meat,Hogs,Commercial,2168559.0
217,2005-05-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3747160.8
218,2005-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,29758.3
219,2005-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,42854.4
220,2005-05-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1181121.2
221,2005-06-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4093099.9
222,2005-06-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,618708.0
223,2005-06-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,41258.100000000006
224,2005-06-01,1000 Pounds,Red Meat,Calves,Commercial,21734.1
225,2005-06-01,1000 Pounds,Red Meat,Calves,Federally Inspected,34158.4
226,2005-06-01,1000 Pounds,Red Meat,Cattle,Commercial,3657312.0
227,2005-06-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5818828.5
228,2005-06-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,631512.0
229,2005-06-01,1000 Pounds,Red Meat,Hogs,Commercial,2292418.4
230,2005-06-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3980994.0000000005
231,2005-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,30594.6
232,2005-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,43806.4
233,2005-06-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1301913.0
234,2005-07-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3815650.1999999997
235,2005-07-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,546038.4
236,2005-07-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,33049.8
237,2005-07-01,1000 Pounds,Red Meat,Calves,Commercial,20510.0
238,2005-07-01,1000 Pounds,Red Meat,Calves,Federally Inspected,32489.600000000002
239,2005-07-01,1000 Pounds,Red Meat,Cattle,Commercial,3407745.0
240,2005-07-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5425873.600000001
241,2005-07-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,606713.4
242,2005-07-01,1000 Pounds,Red Meat,Hogs,Commercial,2022820.8
243,2005-07-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3510466.0
244,2005-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,26786.600000000002
245,2005-07-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,38164.0
246,2005-07-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1212042.3
247,2005-08-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4206795.5
248,2005-08-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,616694.4
249,2005-08-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,40184.6
250,2005-08-01,1000 Pounds,Red Meat,Calves,Commercial,22763.199999999997
251,2005-08-01,1000 Pounds,Red Meat,Calves,Federally Inspected,35870.8
252,2005-08-01,1000 Pounds,Red Meat,Cattle,Commercial,3788505.0
253,2005-08-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,6040247.100000001
254,2005-08-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,661012.4
255,2005-08-01,1000 Pounds,Red Meat,Hogs,Commercial,2356480.4000000004
256,2005-08-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4079408.4000000004
257,2005-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,30712.8
258,2005-08-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,43982.4
259,2005-08-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1357653.3
260,2005-09-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4050307.8000000003
261,2005-09-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,572894.0
262,2005-09-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,39113.399999999994
263,2005-09-01,1000 Pounds,Red Meat,Calves,Commercial,22034.100000000002
264,2005-09-01,1000 Pounds,Red Meat,Calves,Federally Inspected,34508.4
265,2005-09-01,1000 Pounds,Red Meat,Cattle,Commercial,3539272.5
266,2005-09-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5623850.699999999
267,2005-09-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,622836.9
268,2005-09-01,1000 Pounds,Red Meat,Hogs,Commercial,2350841.5
269,2005-09-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4064121.3999999994
270,2005-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,31198.5
271,2005-09-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,44854.0
272,2005-09-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1232794.0
273,2005-10-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4102136.5
274,2005-10-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,608262.7999999999
275,2005-10-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,35705.799999999996
276,2005-10-01,1000 Pounds,Red Meat,Calves,Commercial,20868.0
277,2005-10-01,1000 Pounds,Red Meat,Calves,Federally Inspected,32368.0
278,2005-10-01,1000 Pounds,Red Meat,Cattle,Commercial,3429376.0
279,2005-10-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5426495.100000001
280,2005-10-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,616905.2000000001
281,2005-10-01,1000 Pounds,Red Meat,Hogs,Commercial,2452768.9
282,2005-10-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4233803.699999999
283,2005-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,31491.6
284,2005-10-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,45290.299999999996
285,2005-10-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1140434.2000000002
286,2005-11-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3962365.0
287,2005-11-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,607180.8
288,2005-11-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,36166.5
289,2005-11-01,1000 Pounds,Red Meat,Calves,Commercial,20586.0
290,2005-11-01,1000 Pounds,Red Meat,Calves,Federally Inspected,32450.0
291,2005-11-01,1000 Pounds,Red Meat,Cattle,Commercial,3425840.4
292,2005-11-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5429610.0
293,2005-11-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,618605.0
294,2005-11-01,1000 Pounds,Red Meat,Hogs,Commercial,2484230.4000000004
295,2005-11-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4293002.5
296,2005-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,31444.0
297,2005-11-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,45582.0
298,2005-11-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1122072.0
299,2005-12-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3947003.5
300,2005-12-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,553753.2000000001
301,2005-12-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,33697.4
302,2005-12-01,1000 Pounds,Red Meat,Calves,Commercial,22260.0
303,2005-12-01,1000 Pounds,Red Meat,Calves,Federally Inspected,34867.8
304,2005-12-01,1000 Pounds,Red Meat,Cattle,Commercial,3413888.0
305,2005-12-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5398583.4
306,2005-12-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,615584.5
307,2005-12-01,1000 Pounds,Red Meat,Hogs,Commercial,2511784.0
308,2005-12-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4340360.0
309,2005-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,33004.4
310,2005-12-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,47720.200000000004
311,2005-12-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1120310.6
312,2006-01-01,1000 Pounds,Poultry,Broilers,Federally Inspected,4097120.5
313,2006-01-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,566882.7000000001
314,2006-01-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,39376.0
315,2006-01-01,1000 Pounds,Red Meat,Calves,Commercial,19702.5
316,2006-01-01,1000 Pounds,Red Meat,Calves,Federally Inspected,30788.1
317,2006-01-01,1000 Pounds,Red Meat,Cattle,Commercial,3395741.0
318,2006-01-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5363991.0
319,2006-01-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,600454.7999999999
320,2006-01-01,1000 Pounds,Red Meat,Hogs,Commercial,2434122.6
321,2006-01-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4222413.0
322,2006-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,32203.6
323,2006-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,46178.0
324,2006-01-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1097751.0
325,2006-02-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3730419.0
326,2006-02-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,521818.4
327,2006-02-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,35025.0
328,2006-02-01,1000 Pounds,Red Meat,Calves,Commercial,18813.9
329,2006-02-01,1000 Pounds,Red Meat,Calves,Federally Inspected,29515.2
330,2006-02-01,1000 Pounds,Red Meat,Cattle,Commercial,3013034.4
